"grid","year","effort","catch.kg","depth","swept.area.km2","grid.area.km2"
"559",2000,1,0,472.008,10.0008,559.301171182358
"559",2000,1,21,539.757,8.334,559.301171182358
"559",2000,1,0,377.378,10.2786,559.301171182358
"559",2000,1,0,516.424,7.6395,559.301171182358
"559",2000,1,0,498.922,6.6672,559.301171182358
"559",2000,1,0,510.566,4.8615,559.301171182358
"560",2000,1,0,515.484,6.88944,559.301171182358
"560",2000,1,0,532.698,6.8061,559.301171182358
"560",2000,1,0,522.526,7.5006,559.301171182358
"560",2000,1,8,530.242,7.66728,559.301171182358
"560",2000,1,0,534.968,8.94516,559.301171182358
"560",2000,1,25,505.045,9.3063,559.301171182358
"560",2000,1,0,490.033,8.38956,559.301171182358
"561",2000,1,0,459.032,8.94516,559.301171182358
"561",2000,1,100,511.586,6.6672,559.301171182358
"561",2000,1,0,505.045,9.723,559.301171182358
"561",2000,1,0,478.581,9.290866666,559.301171182358
"561",2000,1,0,478.581,14.39004,559.301171182358
"561",2000,1,0,505.045,10.88976,559.301171182358
"561",2000,1,0,505.045,8.8896,559.301171182358
"561",2000,1,0,487.664,6.96352,559.301171182358
"561",2000,1,0,487.722,8.334,559.301171182358
"561",2000,1,0,485.408,9.85264,559.301171182358
"561",2000,1,0,451.768,6.3894,559.301171182358
"561",2000,1,0,496.874,8.11176,559.301171182358
"561",2000,1,0,471.747,9.98228,559.301171182358
"561",2000,1,0,479.959,7.56542,559.301171182358
"561",2000,1,0,487.331,8.6118,559.301171182358
"561",2000,1,0,470.851,8.11176,559.301171182358
"561",2000,1,0,500.551,2.78726,559.301171182358
"561",2000,1,0,478.581,9.87116,559.301171182358
"561",2000,1,0,432.56,8.91738,559.301171182358
"561",2000,1,0,470.851,3.00024,559.301171182358
"561",2000,1,0,496.874,7.9173,559.301171182358
"562",2000,1,0,498.422,7.90804,559.301171182358
"562",2000,1,0,472.251,7.6395,559.301171182358
"563",2000,1,0,473.982,5.63934,559.301171182358
"566",2000,1,0,498.166,2.9169,559.301171182358
"569",2000,1,0,496.242,6.58386,559.301171182358
"570",2000,1,0,536.525,8.334,559.301171182358
"570",2000,1,146,481.923,8.22288,559.301171182358
"570",2000,1,0,481.923,5.0004,559.301171182358
"570",2000,1,0,456.284,6.6672,559.301171182358
"570",2000,1,0,501.108,7.52838,559.301171182358
"570",2000,1,0,468.294,6.6672,559.301171182358
"570",2000,1,0,545.661,7.52838,559.301171182358
"571",2000,1,0,456.284,5.61156,559.301171182358
"571",2000,1,0,497.78,1.61124,559.301171182358
"571",2000,1,0,497.253,0.4167,559.301171182358
"571",2000,1,0,437.055,6.6672,559.301171182358
"571",2000,1,0,468.294,2.0835,559.301171182358
"571",2000,1,0,468.294,3.3336,559.301171182358
"571",2000,1,0,468.294,4.5837,559.301171182358
"571",2000,1,72,565.549,8.41734,559.301171182358
"571",2000,1,0,519.358,5.75046,559.301171182358
"571",2000,1,0,470.872,5.0004,559.301171182358
"571",2000,1,0,468.294,5.2782,559.301171182358
"571",2000,1,0,499.404,8.00064,559.301171182358
"571",2000,1,0,468.294,4.4448,559.301171182358
"571",2000,1,0,468.294,3.3336,559.301171182358
"571",2000,1,0,497.253,5.0004,559.301171182358
"571",2000,1,0,422.368,2.3613,559.301171182358
"571",2000,1,0,468.294,2.5002,559.301171182358
"571",2000,1,0,481.923,5.58378,559.301171182358
"571",2000,1,0,468.294,5.9727,559.301171182358
"571",2000,1,0,422.368,4.50036,559.301171182358
"571",2000,1,0,422.368,1.6668,559.301171182358
"571",2000,1,0,468.294,6.86166,559.301171182358
"572",2000,1,0,502.786,2.0835,559.301171182358
"572",2000,1,0,501.108,5.16708,559.301171182358
"572",2000,1,0,477.304,3.63918,559.301171182358
"572",2000,1,0,499.404,4.0281,559.301171182358
"572",2000,1,0,509.254,5.44488,559.301171182358
"572",2000,1,7,501.108,6.5283,559.301171182358
"572",2000,1,0,501.385,7.2228,559.301171182358
"572",2000,1,0,532.781,6.6672,559.301171182358
"572",2000,1,0,501.108,3.1947,559.301171182358
"572",2000,1,30,587.993,8.334,559.301171182358
"572",2000,1,0,509.254,2.19462,559.301171182358
"572",2000,1,20,577.193,6.6672,559.301171182358
"572",2000,1,0,587.993,8.41734,559.301171182358
"572",2000,1,140,497.253,6.69498,559.301171182358
"572",2000,1,78,467.378,6.945,559.301171182358
"572",2000,1,60,528.339,7.022784,559.301171182358
"573",2000,1,42,501.385,4.4448,559.301171182358
"573",2000,1,0,421.236,4.08366,559.301171182358
"573",2000,1,90,477.304,8.334,559.301171182358
"573",2000,1,160,441.504,6.5283,559.301171182358
"573",2000,1,0,458.742,4.167,559.301171182358
"573",2000,1,0,487.554,6.2505,559.301171182358
"573",2000,1,0,502.786,6.5283,559.301171182358
"573",2000,1,0,502.786,7.543813334,559.301171182358
"573",2000,1,0,753.228,10.1397,559.301171182358
"573",2000,1,0,541.367,10.1397,559.301171182358
"573",2000,1,0,477.304,7.0839,559.301171182358
"573",2000,1,60,458.742,1.6668,559.301171182358
"573",2000,1,150,546.748,9.03776,559.301171182358
"573",2000,1,0,383.734,2.3613,559.301171182358
"573",2000,1,0,487.554,7.72284,559.301171182358
"573",2000,1,0,634.165,9.27852,559.301171182358
"574",2000,1,0,413.325,9.11184,559.301171182358
"574",2000,1,0,459.17,6.6672,559.301171182358
"574",2000,1,0,452.307,12.2232,559.301171182358
"574",2000,1,0,501.089,7.58394,559.301171182358
"574",2000,1,0,515.433,9.4452,559.301171182358
"574",2000,1,0,413.325,3.7503,559.301171182358
"574",2000,1,0,502.786,6.72276,559.301171182358
"574",2000,1,0,501.089,7.58394,559.301171182358
"574",2000,1,0,498.158,7.7784,559.301171182358
"574",2000,1,30,573.784,7.3617,559.301171182358
"574",2000,1,0,493.993,9.0285,559.301171182358
"574",2000,1,0,493.993,8.72292,559.301171182358
"574",2000,1,0,452.307,8.0562,559.301171182358
"575",2000,1,0,511.935,8.334,559.301171182358
"575",2000,1,0,479.358,6.6672,559.301171182358
"575",2000,1,0,448.259,8.44512,559.301171182358
"576",2000,1,0,477.117,6.6672,559.301171182358
"576",2000,1,0,498.158,6.88944,559.301171182358
"576",2000,1,45,502.079,5.556,559.301171182358
"576",2000,1,0,504.847,1.1112,559.301171182358
"576",2000,1,0,498.158,7.2228,559.301171182358
"577",2000,1,0,515.741,8.41734,559.301171182358
"577",2000,1,0,514.408,6.5283,559.301171182358
"577",2000,1,25,539.681,7.5006,559.301171182358
"578",2000,1,0,501.339,4.75038,559.301171182358
"578",2000,1,0,485.149,3.3336,559.301171182358
"578",2000,1,0,517.619,6.16716,559.301171182358
"578",2000,1,0,512.69,8.6118,559.301171182358
"580",2000,1,0,535.487,6.50052,559.301171182358
"592",2000,1,0,266.068,2.345866666,559.301171182358
"618",2000,1,0,79.082,13.53812,561.599161345108
"619",2000,1,0,559.131,6.3894,561.599161345108
"619",2000,1,0,455.499,17.5014,561.599161345108
"619",2000,1,100,589.904,5.0004,561.599161345108
"619",2000,1,12,547.745,8.1951,561.599161345108
"619",2000,1,0,739.56,9.77856,561.599161345108
"619",2000,1,0,657.312,1.6668,561.599161345108
